symbol,setup,status,open_date,close_date,entry,exit_day_close,realized_r,exact_exit,inferred_shares,inferred_planned_stop_price,inferred_planned_stop_atr,inferred_planned_stop_pct,grade,atr14_entry,atr_pct,entry_price_matches_fmp,available_sessions_after_exit,available_sessions_from_entry,post_20d_max_gain_from_entry,post_20d_max_gain_from_exit_close,post_20d_max_drawdown_from_exit_close,asof_market_date,asof_close,asof_gain_from_entry,asof_gain_from_exact_exit,max_gain_from_entry_through_asof,reached_2atr_after_exit,reached_5pct_after_exit,reached_10pct_after_exit,structure_stop_pct,hard_1atr_stopped_before_2atr,close_1atr_stopped_before_2atr,hard_1atr_20d_r,close_1atr_20d_r,hard_1.5atr_stopped_before_2atr,close_1.5atr_stopped_before_2atr,hard_1.5atr_20d_r,close_1.5atr_20d_r,hard_2atr_stopped_before_2atr,close_2atr_stopped_before_2atr,hard_2atr_20d_r,close_2atr_20d_r,hard_2.5atr_stopped_before_2atr,close_2.5atr_stopped_before_2atr,hard_2.5atr_20d_r,close_2.5atr_20d_r,hard_3atr_stopped_before_2atr,close_3atr_stopped_before_2atr,hard_3atr_20d_r,close_3atr_20d_r,structure_stopped_before_2atr,two_closes_below_sma20_before_2atr,entry_reclaim_date,entry_reclaim_price,entry_reclaim_gain_10d,entry_reclaim_drawdown_10d,entry_reclaim_success,entry_reclaim_forward_sessions,entry_reclaim_strength_date,entry_reclaim_strength_price,entry_reclaim_strength_gain_10d,entry_reclaim_strength_drawdown_10d,entry_reclaim_strength_success,entry_reclaim_strength_forward_sessions,sma10_reclaim_strength_date,sma10_reclaim_strength_price,sma10_reclaim_strength_gain_10d,sma10_reclaim_strength_drawdown_10d,sma10_reclaim_strength_success,sma10_reclaim_strength_forward_sessions,sma20_reclaim_date,sma20_reclaim_price,sma20_reclaim_gain_10d,sma20_reclaim_drawdown_10d,sma20_reclaim_success,sma20_reclaim_forward_sessions,sma20_reclaim_strength_date,sma20_reclaim_strength_price,sma20_reclaim_strength_gain_10d,sma20_reclaim_strength_drawdown_10d,sma20_reclaim_strength_success,sma20_reclaim_strength_forward_sessions,exit_low_undercut_reclaim_date,exit_low_undercut_reclaim_price,exit_low_undercut_reclaim_gain_10d,exit_low_undercut_reclaim_drawdown_10d,exit_low_undercut_reclaim_success,exit_low_undercut_reclaim_forward_sessions,exit_high_break_date,exit_high_break_price,exit_high_break_gain_10d,exit_high_break_drawdown_10d,exit_high_break_success,exit_high_break_forward_sessions,fresh_5d_high_date,fresh_5d_high_price,fresh_5d_high_gain_10d,fresh_5d_high_drawdown_10d,fresh_5d_high_success,fresh_5d_high_forward_sessions
MDT,OTC - Equities,LOSS,2026-07-10,2026-07-14,83.33031250000002,79.3,-1.0048333333333335,81.45,160.31909589496289,81.45904446218279,0.846180637255854,-0.022456030484911866,C,2.211428571428573,0.02653810486344417,True,19,21,0.07343891216056564,0.1279949558638085,0.002017654476670794,2026-08-10,89.41,0.07295889475993467,0.09772866789441359,0.07343891216056564,True,True,False,-0.04779976845589251,True,True,-1.0,-1.8224927325581508,True,True,-1.0,-1.2149951550387672,False,False,0.8658854166666621,0.8658854166666621,False,False,0.6927083333333279,0.6927083333333279,False,False,0.5772569444444402,0.5772569444444402,True,True,2026-07-16,83.56,0.06486357108664431,-0.024772618477740593,True,10,2026-07-16,83.56,0.06486357108664431,-0.024772618477740593,True,10,2026-07-16,83.56,0.06486357108664431,-0.024772618477740593,True,10,2026-07-16,83.56,0.06486357108664431,-0.024772618477740593,True,10,2026-07-16,83.56,0.06486357108664431,-0.024772618477740593,True,10,,,,,,0,2026-07-16,83.56,0.06486357108664431,-0.024772618477740593,True,10,2026-07-27,84.22,0.06209926383281883,-0.0045119924008548695,True,10
UPRO,No Trade Setup,LOSS,2026-07-10,2026-07-17,144.36142857142858,139.05,-0.7074642857142858,138.7,34.98940196820581,136.35900543043203,1.6367264276691273,-0.05543324986588796,A,4.889285714285704,0.03386836610491517,True,16,21,0.09101164735336909,0.1326860841423947,-0.05947500898957214,2026-08-10,154.98,0.07355546099571497,0.11737563085796676,0.09101164735336909,True,True,False,-0.05585806457997289,True,True,-1.0,-1.086340394448503,True,True,-1.0,-1.122376430484544,True,True,-1.0,-1.3653761869978125,True,True,-1.0,-1.0923009495982512,False,False,0.7293888483077684,0.7293888483077684,True,True,2026-08-03,146.32,0.0764078731547293,0.011208310552214495,True,5,2026-08-03,146.32,0.0764078731547293,0.011208310552214495,True,5,,,,,,0,2026-07-21,141.89,0.09535555712171395,-0.07830009162026907,False,10,2026-08-03,146.32,0.0764078731547293,0.011208310552214495,True,5,2026-07-31,140.28,0.1227544910179641,0.008696891930424888,True,6,2026-07-21,141.89,0.09535555712171395,-0.07830009162026907,False,10,2026-08-03,146.32,0.0764078731547293,0.011208310552214495,True,5
MDT,OTC - Equities,BREAKEVEN,2026-07-09,2026-07-10,82.63870967741934,83.87,0.029553903345724906,82.69,154.9999999999692,80.90322580645126,0.7958327610073106,-0.021000858771180693,B,2.180714285714288,0.02638853261657543,True,21,22,0.07673510812709838,0.0609276260879934,-0.05842375104328135,2026-08-10,89.41,0.08193848075571886,0.08126738420607094,0.08242251541884626,True,True,False,-0.055469020108628975,True,True,-1.0,-1.5310165569561345,True,True,-1.0,-1.0206777046374231,False,False,0.7523430153313001,0.7523430153313001,False,False,0.6018744122650401,0.6018744122650401,False,False,0.5015620102208668,0.5015620102208668,False,True,2026-07-16,83.56,0.06486357108664431,-0.024772618477740593,True,10,2026-07-16,83.56,0.06486357108664431,-0.024772618477740593,True,10,2026-07-16,83.56,0.06486357108664431,-0.024772618477740593,True,10,2026-07-16,83.56,0.06486357108664431,-0.024772618477740593,True,10,2026-07-16,83.56,0.06486357108664431,-0.024772618477740593,True,10,2026-07-16,83.56,0.06486357108664431,-0.024772618477740593,True,10,2026-07-27,84.22,0.06209926383281883,-0.0045119924008548695,True,10,2026-07-27,84.22,0.06209926383281883,-0.0045119924008548695,True,10
NTAP,CANSLIM,BREAKEVEN,2026-07-09,2026-07-10,168.72117647058826,168.87,0.05810185185185185,169.46,16.986464968153285,156.00516990860123,1.9727847059820312,-0.07536698610090421,B,6.445714285714284,0.03820335076218433,True,21,22,0.15990182201055658,0.15887961153550068,-0.07467282525019259,2026-08-10,198.72,0.17780117562564035,0.17266611589755687,0.19884180653078865,True,True,True,-0.10213658654176616,True,True,-1.0,-1.0272215269086427,True,False,-1.0,2.353897232651923,False,False,1.765422924488941,1.765422924488941,False,False,1.4123383395911546,1.4123383395911546,False,False,1.1769486163259615,1.1769486163259615,False,False,2026-07-14,174.55,0.006531079919793736,-0.10478372959037541,False,10,2026-07-14,174.55,0.006531079919793736,-0.10478372959037541,False,10,2026-07-21,165.76,0.1806225868725868,-0.014478764478764394,True,10,2026-07-17,163.88,0.09720527215035402,-0.018733219428850312,True,10,2026-07-17,163.88,0.09720527215035402,-0.018733219428850312,True,10,2026-07-14,174.55,0.006531079919793736,-0.10478372959037541,False,10,2026-07-31,178.5,0.13316526610644264,-0.01389355742296916,True,6,2026-07-27,169.8,0.19122497055359244,-0.03604240282685511,True,10
W,CANSLIM,BREAKEVEN,2026-07-09,2026-07-10,89.02071428571428,89.23,0.07983673469387755,89.37,55.999999999997875,84.6457142857141,0.8120111361527552,-0.049145864927105515,C,5.3878571428571425,0.06052363414614576,True,21,22,0.32901652103443024,0.3258993612013896,-0.11498374985991267,2026-08-10,103.26,0.15995474568519374,0.1554212823094998,0.32901652103443024,True,True,True,-0.06883430020300241,True,True,-1.0,-1.1768527111228924,True,False,-1.0,1.8621238234124355,False,False,1.3965928675593267,1.3965928675593267,False,False,1.1172742940474614,1.1172742940474614,False,False,0.9310619117062178,0.9310619117062178,True,True,2026-07-15,91.67,0.06861568670230156,-0.13854041671211959,False,10,2026-07-15,91.67,0.06861568670230156,-0.13854041671211959,False,10,2026-07-15,91.67,0.06861568670230156,-0.13854041671211959,False,10,2026-07-15,91.67,0.06861568670230156,-0.13854041671211959,False,10,2026-07-15,91.67,0.06861568670230156,-0.13854041671211959,False,10,2026-07-14,88.74,0.10389903087671848,-0.11009691232814967,False,10,2026-07-27,94.53,0.25156035121125564,-0.1031418597270708,False,10,2026-07-27,94.53,0.25156035121125564,-0.1031418597270708,False,10
HOOD,CANSLIM,LOSS,2026-07-08,2026-07-16,113.6215517241379,106.02,-1.4303977272727273,109.28,57.98618005639213,110.58634575214874,0.4243347674041164,-0.026713294493269583,B,7.152857142857142,0.06295334850049913,True,17,23,-0.04762786321803303,0.020656479909451075,-0.21071495944161467,2026-08-10,94.52,-0.1681155681671609,-0.1350658857979503,-0.04762786321803303,False,False,False,-0.13861600876646274,True,True,-1.0,-1.062729420191039,True,True,-1.0,-1.2732955471535239,True,True,-1.0,-1.00250511353071,True,True,-1.0,-1.0463819618051957,True,True,-1.0,-1.1082541912586736,True,True,,,,,,0,,,,,,0,2026-08-07,93.29,0.02851323828920571,-0.009540143638117726,,1,,,,,,0,,,,,,0,2026-07-21,106.36,0.004983076344490467,-0.21323805942083485,False,10,,,,,,0,,,,,,0
GLW,CANSLIM,LOSS,2026-07-02,2026-07-02,217.37,196.79,-0.5523555555555556,211.97,23.01481481481479,207.59368844544576,0.4514872563541461,-0.04497544074414244,C,21.65357142857143,0.09961619095814246,True,26,26,-0.04775267976261677,0.051831902027542176,-0.41816149194572894,2026-08-10,157.76,-0.27423287482173264,-0.25574373732131905,-0.04775267976261677,False,False,False,-0.13453279135641016,True,True,-1.0,-1.0423222826983334,True,True,-1.0,-1.0264665457144428,True,True,-1.0,-1.3619000494804558,True,True,-1.0,-1.089520039584365,True,True,-1.0,-1.0886579800978613,True,True,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0
MDT,OTC - Equities,BREAKEVEN,2026-07-02,2026-07-08,82.39483333333334,82.01,0.0331,82.45,180.00000000000605,80.72816666666672,0.8032128514055947,-0.020227805546059043,C,2.075000000000002,0.02518361790484438,True,23,26,0.07992208249303667,0.0849896354103159,-0.037068650164614136,2026-08-10,89.41,0.08514085632391999,0.0844147968465736,0.08562632365702538,True,True,False,-0.05793546925474702,True,True,-1.0,-1.491485943775102,True,False,-1.0,0.9623025435073623,False,False,0.72172690763052,0.72172690763052,False,False,0.5773815261044168,0.5773815261044168,False,False,0.48115127175368005,0.48115127175368005,False,True,2026-07-10,83.87,0.010969357338738606,-0.05842375104328135,False,10,2026-07-10,83.87,0.010969357338738606,-0.05842375104328135,False,10,2026-07-16,83.56,0.06486357108664431,-0.024772618477740593,True,10,2026-07-16,83.56,0.06486357108664431,-0.024772618477740593,True,10,2026-07-16,83.56,0.06486357108664431,-0.024772618477740593,True,10,2026-07-09,82.39,0.029129748755917007,-0.04150989197718169,False,10,2026-07-10,83.87,0.010969357338738606,-0.05842375104328135,False,10,2026-07-27,84.22,0.06209926383281883,-0.0045119924008548695,True,10
NTAP,CANSLIM,LOSS,2026-07-02,2026-07-08,161.51874999999998,165.4,-0.135875,160.94,56.345572354213104,157.259320377185,0.6707763185535403,-0.02637111556902823,C,6.349999999999996,0.03931432109275237,True,23,26,0.21162403745695157,0.18319226118500587,-0.05525997581620323,2026-08-10,198.72,0.23032155709476476,0.23474586802535113,0.25230042951669707,True,True,True,-0.08566342916844005,True,False,-1.0,2.674212598425202,False,False,1.782808398950132,1.782808398950132,False,False,1.337106299212601,1.337106299212601,False,False,1.0696850393700799,1.0696850393700799,False,False,0.8914041994750673,0.8914041994750673,False,False,2026-07-17,163.88,0.09720527215035402,-0.018733219428850312,True,10,2026-07-17,163.88,0.09720527215035402,-0.018733219428850312,True,10,2026-07-21,165.76,0.1806225868725868,-0.014478764478764394,True,10,2026-07-17,163.88,0.09720527215035402,-0.018733219428850312,True,10,2026-07-17,163.88,0.09720527215035402,-0.018733219428850312,True,10,2026-07-17,163.88,0.09720527215035402,-0.018733219428850312,True,10,2026-07-09,171.73,0.030513014615966894,-0.09008327024981078,False,10,2026-07-09,171.73,0.030513014615966894,-0.09008327024981078,False,10
INTC,CANSLIM,LOSS,2026-07-01,2026-07-02,132.6846153846154,120.35,-0.5912999999999999,123.59,13.003298655163649,117.30390274362877,1.3787295234589123,-0.11591933696610017,A,11.155714285714282,0.08407692371400409,True,26,27,-0.04058206272827425,0.05774823431657672,-0.32039883672621516,2026-08-10,97.52,-0.26502405936576046,-0.2109393963912939,-0.04058206272827425,False,False,False,-0.12792397902984032,True,True,-1.0,-1.1056768817045441,True,True,-1.0,-1.3323285755095218,True,True,-1.0,-1.005969443541477,True,True,-1.0,-1.0600707270703436,True,True,-1.0,-1.0668557975511497,True,True,,,,,,0,,,,,,0,2026-07-21,105.45,0.01327643432906589,-0.22437174016121386,False,10,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0
